TERM_ID,TXN_CCY_CODE,TRN_AMOUNT,TRN_DT
ABI0049,AFN,278500,4/7/2025
ABI0049,USD,0,4/7/2025
ABI0051,USD,400,4/7/2025
ABI0053,AFN,151500,4/7/2025
ABI0053,USD,0,4/7/2025
ABI0055,AFN,483500,4/7/2025
ABI0055,USD,0,4/7/2025
ABI0056,AFN,170500,4/7/2025
ABI0057,AFN,596000,4/7/2025
ABI0057,USD,0,4/7/2025
ABI0063,AFN,34500,4/7/2025
ABI0063,USD,0,4/7/2025
ABI0067,AFN,66500,4/7/2025
ABI0067,USD,0,4/7/2025
ABI0071,AFN,10500,4/7/2025
ABI0073,AFN,26000,4/7/2025
ABI0075,AFN,2000,4/7/2025
ABI0080,AFN,141500,4/7/2025
ABI0080,USD,0,4/7/2025
ABI0081,AFN,78500,4/7/2025
ABI0081,USD,0,4/7/2025
ABI0082,AFN,141000,4/7/2025
ABI0082,USD,0,4/7/2025
ABI0087,AFN,361500,4/7/2025
ABI0087,USD,0,4/7/2025
ABI0090,USD,900,4/7/2025
ABI0092,AFN,35000,4/7/2025
ABI0093,AFN,88500,4/7/2025
ABI0093,USD,0,4/7/2025
ABI0096,AFN,14000,4/7/2025
ABI0096,USD,0,4/7/2025
ABI0098,AFN,147500,4/7/2025
ABI0099,AFN,187500,4/7/2025
ABI0099,USD,0,4/7/2025
ABI0100,AFN,215500,4/7/2025
ABI0100,USD,900,4/7/2025
ABI0101,AFN,7000,4/7/2025
ABI0101,USD,1000,4/7/2025
ABI0103,AFN,121000,4/7/2025
ABI0105,AFN,159000,4/7/2025
ABI0105,USD,0,4/7/2025
ABI0109,AFN,82000,4/7/2025
ABI0110,AFN,75000,4/7/2025
ABI0110,USD,0,4/7/2025
ABI0111,AFN,14500,4/7/2025
ABI0113,USD,100,4/7/2025
ABI0114,AFN,5000,4/7/2025
ABI0115,AFN,11000,4/7/2025
ABI0116,AFN,238000,4/7/2025
ABI0116,USD,0,4/7/2025
ABI0119,AFN,17000,4/7/2025
ABI0119,USD,0,4/7/2025
ABI0120,AFN,5000,4/7/2025
ABI0121,AFN,71000,4/7/2025
ABI0121,USD,0,4/7/2025
ABI0123,AFN,101000,4/7/2025
ABI0123,USD,300,4/7/2025
ABI0004,AFN,127500,4/8/2025
ABI0004,USD,0,4/8/2025
ABI0007,AFN,9000,4/8/2025
ABI0007,USD,0,4/8/2025
ABI0010,AFN,94000,4/8/2025
ABI0010,USD,0,4/8/2025
ABI0011,AFN,68000,4/8/2025
ABI0011,USD,0,4/8/2025
ABI0019,AFN,154500,4/8/2025
ABI0021,AFN,907000,4/8/2025
ABI0021,USD,0,4/8/2025
ABI0026,AFN,30000,4/8/2025
ABI0030,AFN,92000,4/8/2025
ABI0031,AFN,110000,4/8/2025
ABI0032,AFN,132000,4/8/2025
ABI0032,USD,0,4/8/2025
ABI0034,USD,2250,4/8/2025
ABI0040,USD,13700,4/8/2025
ABI0041,AFN,319500,4/8/2025
ABI0041,USD,0,4/8/2025
ABI0042,AFN,318000,4/8/2025
ABI0042,USD,0,4/8/2025
ABI0043,AFN,53000,4/8/2025
ABI0043,USD,8100,4/8/2025
ABI0044,AFN,226500,4/8/2025
ABI0044,USD,0,4/8/2025
ABI0045,AFN,57000,4/8/2025
ABI0045,USD,0,4/8/2025
ABI0046,AFN,57500,4/8/2025
ABI0046,USD,0,4/8/2025
ABI0047,AFN,101000,4/8/2025
ABI0047,USD,0,4/8/2025
ABI0049,AFN,133000,4/8/2025
ABI0049,USD,0,4/8/2025
ABI0051,USD,300,4/8/2025
ABI0053,AFN,141500,4/8/2025
ABI0053,USD,0,4/8/2025
ABI0055,AFN,400500,4/8/2025
ABI0055,USD,0,4/8/2025
ABI0056,AFN,94500,4/8/2025
ABI0057,AFN,728000,4/8/2025
ABI0057,USD,0,4/8/2025
ABI0063,AFN,16500,4/8/2025
